Bedrooms,Bathrooms,LivingSQFT,Age,DistToWH,LotSize,ListingType,Floors,CountySchool,Garage,Price
5,6,6608,0,11166.75633,0,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1750000
5,4,4472,8,10616.60811,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1324900
5,5,4290,0,4619.157829,0.11,Single Family,2.5,ARLINGTON COUNTY PUBLIC SCHOOLS,1,2095000
4,5,4600,42,8487.85093,0.29,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1249000
5,5,3840,0,9120.789179,0,Single Family,2.5,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1610000
5,5,4099,0,10046.82588,0,Single Family,2.5,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1459900
6,8,7250,0,11038.71001,0.25,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2098000
5,5,3912,0,7997.380789,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1300000
5,5,4262,0,7995.231477,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1300000
4,4,3397,70,7006.776903,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1149900
6,7,5097,1,10204.56754,0.23,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1700000
5,6,6620,17,5780.073149,0.47,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,3,2299000
4,4,2131,7,4366.403312,0.03,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1170000
6,8,6737,2,8100.236911,0,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,3,2799333
4,5,3800,1,6814.969262,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1454900
6,7,5500,0,8473.870266,0.38,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2460000
6,7,6386,0,10222.36783,0.28,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1840000
6,7,6000,0,7662.334325,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1590000
5,5,4540,0,9358.306508,0.15,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1399900
3,4,3036,19,3149.296684,0.03,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1875000
6,4,3919,37,8102.388707,0.23,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1099900
5,3,2660,51,7246.554324,0.23,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,950000
6,6,6185,0,8464.425177,0.22,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2499000
6,6,6200,1,7618.996123,0.27,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2174500
6,7,7584,2,6164.597445,0.27,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2250000
5,6,2964,5,6209.624703,0.2,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1900000
5,5,5191,0,9727.527024,0.26,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1699900
5,5,4300,0,9922.772125,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1419900
5,5,4461,9,8075.388395,0.24,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1850000
6,6,6411,19,8563.540418,0.59,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2189000
7,7,10520,18,10450.20005,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1649900
6,5,5502,62,9697.35879,0.58,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1568000
5,5,5396,1,7802.927511,0.23,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2249000
5,5,5015,1,10371.71356,0.17,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1630000
7,8,6622,0,8035.323106,0.27,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2495000
6,8,6625,0,9005.718716,0.28,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2095000
6,7,5535,0,11259.74763,0.23,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1697000
5,5,4379,1,10204.63686,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1399000
4,4,4610,46,7873.819712,0.46,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1399000
5,5,5342,1,7910.088119,0.23,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2100000
6,6,6315,2,8201.743223,0.49,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2350000
4,4,3325,80,5364.886776,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1195000
5,7,4608,32,7992.20216,0.69,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,5,2100000
5,6,4318,1,7695.918403,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1429000
5,9,5000,1,5663.079305,0.52,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,3,3350000
4,4,4086,1,8236.429383,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1284900
5,5,5018,14,9841.472391,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1275000
3,3,2156,94,6325.910431,0.06,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,0,774900
5,3,3620,59,8717.896235,0.29,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1050000
5,5,5138,28,39638.39015,0.57,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,799900
3,4,1638,26,36333.80604,0.06,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,449900
3,2,1188,52,37244.22264,0.25,Single Family,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,410000
3,3,1428,29,35179.02139,0.05,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,354999
2,2,968,32,37354.19597,0,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,230000
4,4,3737,27,36445.20027,0.43,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,734900
4,3,2412,32,35872.09546,0.24,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,574980
4,3,2195,49,36988.50626,0.25,Single Family,2,FAIRFAX COUNTY PUBLIC SCHOOLS,1,499499
4,3,2424,52,37402.33217,0.26,Single Family,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,495000
3,4,2160,32,35426.64335,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,399990
3,4,2172,24,36494.82588,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,399900
3,3,1320,30,35022.50662,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,394900
2,2,1202,17,32705.22919,0,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,289950
3,3,2200,33,36996.48579,0.23,Single Family,2,FAIRFAX COUNTY PUBLIC SCHOOLS,1,549900
3,4,1860,33,37040.05144,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,360000
2,3,1346,29,35157.94774,0.04,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,345000
6,5,5575,19,33045.75097,0.26,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,940000
3,4,1584,25,36325.05014,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,434900
3,4,1232,34,36960.46952,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,355000
6,7,11109,2,39841.46759,5.09,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,4,1779000
4,5,5855,28,39327.41363,0.83,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,835000
5,5,5245,0,43101.31332,5,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,849900
4,5,4001,14,33253.75822,0.12,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,719900
4,4,3955,31,37340.2319,0.3,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,639000
3,4,1896,15,33101.67847,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,589900
3,3,2044,33,35402.8467,0.23,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,564000
4,4,3232,35,37960.92891,0.46,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,550000
4,4,1864,25,36144.32064,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,425000
3,4,2021,25,36824.61609,0.06,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,419900
3,3,1428,28,35239.45008,0.04,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,325000
1,1,741,17,32750.05744,0,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,1,199999
7,8,8485,1,33785.13967,0.71,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,1560000
5,5,6011,18,32697.15028,0.23,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,850000
4,4,2924,25,38225.2266,0.3,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,709000
4,4,3345,19,37192.1207,0.12,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,624990
3,3,2197,31,35691.10599,0.1,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,502800
3,4,1954,15,33073.69195,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,499900
3,3,1372,25,36378.25841,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,425000
3,4,1960,31,36266.80155,0.07,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,424900
3,3,1602,25,35587.69102,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,365000
3,2,1140,35,35966.589,0.03,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,325000
6,7,7233,29,38770.77533,5,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,7,1238000
4,4,1782,36,34167.51737,0.23,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,539900
3,4,1320,28,35156.24244,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,410000
3,3,1440,37,35644.51232,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,345000
5,4,4602,30,38810.57334,0.31,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,745000
5,4,3479,16,38672.85469,1.01,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,725000
3,4,1901,15,33170.56795,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,464997
3,2,1404,51,37544.9468,0.32,Single Family,1,FAIRFAX COUNTY PUBLIC SCHOOLS,2,424900
3,4,2000,32,35385.5051,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,399900
2,3,1166,30,34873.44636,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,374990
2,2,1418,31,36831.45248,0.04,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,349999
2,1,968,34,35800.85949,0.03,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,274990
4,4,3185,14,34540.46815,0.07,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,629900
4,3,2576,27,37257.46629,0.23,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,534990
3,3,1472,33,34231.89794,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,379900
3,3,1984,31,35700.48266,0.08,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,445000
3,4,2152,25,36605.18855,0.06,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,445000
3,4,1640,22,36812.94662,0.05,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,434900
3,4,1800,34,34262.37861,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,390000
2,2,1102,37,35596.19768,0.03,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,315000
2,2,1184,36,36353.555,0.05,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,314000
4,4,1616,25,35177.98249,0.07,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,459999
2,1,1054,47,36180.94082,0.02,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,220000
3,4,1792,24,36323.60864,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,435000
3,4,2318,29,36268.7716,0.05,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,435000
4,4,3622,23,36134.06622,0.36,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,644895
3,3,1160,35,36311.37815,0.05,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,389999
4,4,3786,25,36694.82603,0.45,Single Family,2,FAIRFAX COUNTY PUBLIC SCHOOLS,2,700000
5,4,2376,36,36020.68875,0.2,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,579990
4,3,2257,35,37111.08457,0.22,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,545000
3,4,1770,32,35400.06957,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,385000
2,3,1346,31,35197.21725,0.04,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,339900
2,2,1634,33,36066.11607,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,329900
2,3,1120,37,37590.91169,0.03,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,2,299975
4,4,4359,19,36431.52817,0.23,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,775000
5,4,3091,31,34074.72197,0.23,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,639950
4,4,2736,23,36658.73617,0.24,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,615000
4,3,2299,25,37062.06516,0.11,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,525000
5,4,2420,34,36310.51293,0.2,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,515000
3,3,2256,36,38154.6774,0.3,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,510000
3,3,1418,31,35398.41383,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,410000
2,4,2244,25,36645.3979,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,399000
4,4,1240,52,37277.10179,0.07,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,339900
3,3,1276,30,35667.37289,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,335000
2,2,1020,34,34886.55752,0.02,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,275000
4,3,3309,28,36044.60707,0.22,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,655900
4,4,3628,32,37055.11517,0.35,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,639900
3,4,1997,31,35699.68222,0.11,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,419000
3,4,2060,32,36165.33032,0.05,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,404900
5,4,2807,31,35528.52393,0.21,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,560000
3,4,2184,20,32797.66275,0.05,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,550000
4,3,2710,30,35842.93261,0.15,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,515000
3,3,1936,31,35695.66294,0.07,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,430000
4,5,3185,14,34448.47696,0.08,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,695000
3,3,1850,34,35948.30531,0.2,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,499900
4,4,4878,30,39211.13343,0.31,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,774900
4,3,3143,21,32575.71674,0.22,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,744900
5,4,3386,30,37038.24908,0.17,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,630000
4,3,2450,39,38015.85125,0.26,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,579950
4,4,2931,36,35388.51469,0.22,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,574900
4,3,2204,29,36034.40143,0.18,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,535000
3,3,2804,31,35728.97684,0.07,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,474900
3,4,1568,32,36271.04216,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,420000
3,4,1885,29,35198.32922,0.06,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,414900
3,3,2698,32,33864.86866,0.29,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,619950
4,4,2005,27,36959.46567,0.11,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,539000
4,2,2056,49,36353.88816,0.21,Single Family,2.5,FAIRFAX COUNTY PUBLIC SCHOOLS,0,465000
3,4,2244,29,36319.12875,0.07,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,456900
3,4,1672,31,35364.6677,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,439900
4,4,1910,32,34417.85751,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,417770
3,3,1660,53,37472.6705,0.06,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,335000
2,3,1183,31,36599.43031,0.05,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,304900
5,5,6671,31,39433.10107,1.42,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,4,798800
5,5,6508,17,38944.8525,1.69,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,1089000
4,3,2875,26,36980.97389,0.12,Single Family,2,FAIRFAX COUNTY PUBLIC SCHOOLS,2,623000
3,3,1224,32,35356.3257,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,369000
5,8,7599,16,39176.50255,1.07,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,1230000
4,3,3360,18,32827.13329,0.29,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,799999
3,4,1408,26,36835.09434,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,399900
2,2,1260,34,36911.76377,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,305000
4,4,3216,25,36310.5945,0.17,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,599900
4,4,4055,31,39447.84744,0.3,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,699900
2,2,1280,33,34290.32699,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,325000
5,5,4435,30,39772.24925,0.58,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,849900
4,4,4060,30,39559.09859,0.3,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,689900
4,4,3328,27,35342.83453,0.25,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,624900
5,4,3408,26,37267.90241,0.23,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,615000
4,4,3118,37,37765.57908,0.31,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,599500
3,3,1280,50,37145.04593,0.07,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,345900
4,6,8656,1,38820.0631,2.11,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,1109990
4,5,4703,0,38820.0631,1.31,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,944990
4,5,4656,0,40289.77045,1.31,Single Family,2,FAIRFAX COUNTY PUBLIC SCHOOLS,3,899990
6,6,5000,0,42125.39265,0.7,Single Family,3,LOUDOUN COUNTY PUBLIC SCHOOLS,2,888990
5,4,4731,32,35875.67498,0.19,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,650000
5,4,3696,22,37290.26395,0.16,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,649900
5,4,5188,30,38711.11708,0.42,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,750000
2,2,1102,17,33002.83587,0,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,299900
6,6,6822,16,37415.89571,1.81,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,1199000
4,4,2438,30,38124.71207,0.68,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,639990
4,4,1788,33,35913.10755,0.2,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,510000
7,8,9800,1,42751.22578,5.1,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,4,1349990
5,4,5580,30,38792.59784,0.32,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,734900
4,6,5602,0,38820.0631,1.88,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,1009990
4,6,5747,0,38820.0631,1.3,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,979990
2,4,1456,29,36071.26713,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,360000
4,5,6500,-1,40011.62589,7,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,4,1495000
5,5,7031,17,39587.16826,0.9,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,919900
4,4,3423,28,38240.73359,0.31,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,649900
4,3,2792,32,35936.07161,0.2,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,515000
4,3,2600,41,38700.48806,0.27,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,510000
3,4,1514,31,34593.4498,0.05,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,389900
2,2,1102,17,32803.68331,0,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,1,295000
5,3,3286,31,39201.36216,0.36,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,649999
4,3,2677,21,37272.65635,0.17,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,537990
3,4,1200,33,37047.4836,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,375000
6,6,6000,0,42125.39265,0.69,Single Family,3,LOUDOUN COUNTY PUBLIC SCHOOLS,3,984990
3,4,1778,25,35497.84519,0.06,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,1,435000
1,1,741,17,32803.68331,0,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,204900
4,6,4923,26,39132.29202,5,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,1149900
3,4,1314,31,34760.36936,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,3,374900
4,5,4451,28,38718.56045,0.32,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,724900
4,4,4774,26,38195.99606,0.3,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,724900
3,1,1157,47,36904.54179,0.07,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,299000
4,4,3500,28,38425.13761,0.3,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,649900
4,4,3750,0,42071.75891,0.75,Single Family,3,LOUDOUN COUNTY PUBLIC SCHOOLS,2,778990
3,3,1080,34,36836.94515,0.05,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,335000
6,6,5333,0,42125.39265,0.75,Single Family,3,LOUDOUN COUNTY PUBLIC SCHOOLS,2,902634
5,5,4634,0,41845.72401,0.76,Single Family,3,LOUDOUN COUNTY PUBLIC SCHOOLS,3,989990
5,5,4257,0,41845.72401,0.76,Single Family,3,LOUDOUN COUNTY PUBLIC SCHOOLS,3,939990
5,4,3930,0,41845.72401,0.67,Single Family,3,LOUDOUN COUNTY PUBLIC SCHOOLS,3,879990
5,3,2284,68,33887.27949,5.19,Single Family,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,1500000
6,4,3600,32,35929.3477,0.23,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,653000
4,5,3470,19,26376.23279,0.29,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,920000
3,4,1726,39,25640.89626,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,759000
2,3,1104,48,28763.04073,0.03,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,0,329900
2,1,840,34,28417.35648,0,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,234999
2,1,991,46,28395.70889,0,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,225000
3,1,1004,46,28936.3022,0,Condo/Townhome,1,FAIRFAX COUNTY PUBLIC SCHOOLS,0,205000
4,4,3175,23,28451.34441,0.39,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,999000
4,4,3675,33,25816.68131,0.97,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,899900
5,4,3299,47,27758.33141,0.4,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,675000
4,3,2342,27,30879.73997,0.24,Single Family,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,664999
4,4,2749,24,27528.69961,0.06,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,585000
3,4,2382,23,28070.49253,0.06,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,568000
3,4,1534,43,27281.24975,0.04,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,0,475000
3,3,1280,47,27791.41293,0.03,Condo/Townhome,3,FAIRFAX COUNTY PUBLIC SCHOOLS,2,463000
2,2,1360,22,28259.115,0,Condo/Townhome,2,FAIRFAX COUNTY PUBLIC SCHOOLS,1,415000
